Mois,Ratio Licences / Appels,Appels,Licences Stellair (Affid),interpretation
2023-07-01,1.3601689486072703,46.4968152866242,370.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2023-08-01,1.4661706190244133,113.2275132275132,408.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2023-09-01,1.8024074941117294,235.7408056042031,541.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2023-10-01,2.1980305666910267,339.2741935483871,727.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2023-11-01,2.495661121394904,530.4477806788511,894.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2023-12-01,2.8726080649989783,619.056092843327,1150.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2024-02-01,3.2369747859282887,713.7734375,1462.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2024-03-01,3.333956791553753,414.2721382289417,1559.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2024-04-01,3.4486982180659767,449.5135135135135,1683.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2024-05-01,3.575295821204822,606.4654377880183,1833.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2024-06-01,3.693188679430063,556.9454545454546,1987.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2024-07-01,4.436143616581924,684.75,3466.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2024-08-01,4.46335832466499,566.0,3546.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2024-09-01,4.494527377889891,780.0,3641.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2024-10-01,4.5614037973144175,834.0,3858.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2024-11-01,4.611911853291473,836.0,4035.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2024-12-01,4.681294933433131,947.0,4299.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2025-01-01,4.712865277351211,1089.245264,4428.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2025-02-01,4.757970151491909,1065.0,4623.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2025-03-01,4.798723156619148,984.0,4811.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2025-04-01,4.81776352662402,754.0,4903.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2025-05-01,4.834461784635105,859.0,4986.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2025-06-01,4.861647602201303,807.0,5126.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2025-07-01,4.87998170263831,747.0,5224.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2025-08-01,4.890936620688129,673.0,5284.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2025-09-01,4.915562473149728,,5423.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2025-10-01,4.939188279730282,,5562.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2025-11-01,4.961873745320558,,5701.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
2025-12-01,4.983673914866971,,5840.0,Licences par unité d’appel (ratio du fichier) ; hausse = plus de licences par appel.
