mois_depuis_souscription,mois_utilisation,nb_contacts_eligibles,nb_tickets,moyenne_tickets_par_contact
0,1,1271,274,0.2156
1,2,1271,348,0.2738
2,3,1271,205,0.1613
3,4,1271,165,0.1298
4,5,1271,184,0.1448
5,6,1271,138,0.1086
6,7,1271,139,0.1094
7,8,1271,126,0.0991
8,9,1271,123,0.0968
9,10,1271,143,0.1125
10,11,1271,104,0.0818
11,12,1271,117,0.0921
12,13,1271,125,0.0983
13,14,1259,89,0.0707
14,15,1132,86,0.076
15,16,956,83,0.0868
16,17,747,116,0.1553
17,18,593,38,0.0641
18,19,465,27,0.0581
19,20,364,14,0.0385
20,21,278,8,0.0288
21,22,214,5,0.0234
22,23,99,1,0.0101
23,24,0,0,0.0
24,25,0,0,0.0
