contact_id,date_formation,nb_tickets_support_apres_formation,nb_mois_observation,tickets_support_par_mois_calendaire
10660107483,2025-06-18 14:43:00,1,10,0.1
1082254,2025-05-12 15:27:00,0,11,0.0
11179052793,2025-01-15 14:47:00,4,15,0.2667
1158,2025-09-04 11:55:00,0,7,0.0
1160,2025-09-01 14:47:00,7,7,1.0
116040015044,2025-03-07 17:28:00,4,13,0.3077
116050933982,2025-03-07 17:37:00,0,13,0.0
119751464168,2025-04-26 06:57:00,6,12,0.5
121291005132,2025-02-02 23:06:00,3,14,0.2143
128995476726,2025-02-20 18:20:00,1,14,0.0714
1352051,2025-04-08 15:53:00,1,12,0.0833
135663589570,2025-09-10 12:13:00,0,7,0.0
1397490,2025-07-17 20:20:00,1,9,0.1111
1401148,2025-02-12 11:43:00,0,14,0.0
1403355,2025-07-30 19:43:00,1,9,0.1111
1408023,2025-07-03 21:25:00,1,9,0.1111
146848087248,2025-07-25 16:22:00,5,9,0.5556
151562538219,2025-02-04 20:48:00,1,14,0.0714
151739398333,2025-02-17 16:33:00,0,14,0.0
15513177803,2025-06-02 09:50:00,1,10,0.1
1581751,2025-05-13 07:30:00,3,11,0.2727
159785127099,2025-09-16 14:05:00,0,7,0.0
163246614775,2025-04-22 09:06:00,0,12,0.0
163583837390,2025-03-14 11:05:00,2,13,0.1538
166582866141,2025-04-18 14:09:00,1,12,0.0833
168578009327,2025-03-03 13:33:00,2,13,0.1538
170000233692,2025-03-19 14:31:00,2,13,0.1538
170242767048,2025-04-07 18:18:00,0,12,0.0
170270422221,2025-08-21 16:19:00,0,8,0.0
1715151,2025-03-19 21:59:00,1,13,0.0769
172883915977,2025-02-17 16:33:00,3,14,0.2143
17296166885,2025-07-17 18:26:00,1,9,0.1111
174095930571,2025-01-07 06:30:00,3,15,0.2
178126752992,2025-01-24 17:44:00,0,15,0.0
1845401,2025-09-23 11:31:00,3,7,0.4286
188791239924,2025-02-19 13:13:00,2,14,0.1429
193562191066,2025-02-13 11:56:00,5,14,0.3571
195495846118,2025-03-31 10:28:00,0,13,0.0
198648296641,2025-04-03 19:17:00,1,12,0.0833
198728707277,2025-02-18 18:43:00,1,14,0.0714
198749870293,2025-05-06 15:17:00,3,11,0.2727
198823174371,2025-02-17 16:33:00,2,14,0.1429
199392677085,2025-02-26 17:24:00,0,14,0.0
208688185546,2025-03-02 18:54:00,1,13,0.0769
210199489759,2025-04-18 11:18:00,1,12,0.0833
210859928819,2025-04-28 11:34:00,0,12,0.0
215741501673,2025-06-30 09:24:00,0,10,0.0
218249218268,2025-05-29 16:16:00,3,11,0.2727
218370581727,2025-06-13 19:47:00,1,10,0.1
221927589098,2025-03-11 15:18:00,1,13,0.0769
222205167811,2025-03-26 13:18:00,0,13,0.0
223221078245,2025-07-25 09:22:00,2,9,0.2222
223458798792,2025-03-20 15:27:00,9,13,0.6923
230786001093,2025-05-19 14:06:00,1,11,0.0909
232311960782,2025-05-28 17:23:00,2,11,0.1818
23299978221,2025-07-10 14:44:00,0,9,0.0
233987682492,2025-05-07 15:11:00,1,11,0.0909
236212279514,2025-04-07 15:56:00,4,12,0.3333
238687555819,2025-08-30 11:12:00,1,8,0.125
238759072995,2025-03-24 16:52:00,0,13,0.0
239551414493,2025-05-20 12:18:00,0,11,0.0
241158831330,2025-04-02 16:35:00,0,12,0.0
241575954652,2025-04-01 11:30:00,2,12,0.1667
241982018777,2025-05-25 19:19:00,1,11,0.0909
2436,2025-07-29 16:21:00,4,9,0.4444
244040951013,2025-03-31 10:28:00,0,13,0.0
244250889404,2025-05-21 18:31:00,5,11,0.4545
246046017781,2025-04-08 14:09:00,2,12,0.1667
246102609107,2025-04-29 18:03:00,1,12,0.0833
246235437284,2025-08-07 17:36:00,0,8,0.0
24673610941,2025-01-10 09:14:00,0,15,0.0
246972129475,2025-04-08 14:04:00,0,12,0.0
247198267616,2025-04-03 16:36:00,2,12,0.1667
251090130107,2025-04-10 16:40:00,0,12,0.0
252408983755,2025-04-08 16:39:00,0,12,0.0
253595889901,2025-05-02 19:44:00,5,11,0.4545
254534285510,2025-04-10 13:15:00,0,12,0.0
2546765,2025-09-30 17:41:00,0,7,0.0
254678133971,2025-04-10 13:15:00,0,12,0.0
255024848082,2025-03-31 18:26:00,15,13,1.1538
257739080911,2025-08-25 11:59:00,0,8,0.0
259283191014,2025-05-20 13:11:00,1,11,0.0909
260025184482,2025-04-25 14:45:00,2,12,0.1667
261465329898,2025-05-21 20:07:00,3,11,0.2727
265869332727,2025-06-23 12:33:00,2,10,0.2
272110675139,2025-05-16 16:59:00,1,11,0.0909
277807324363,2025-09-03 11:31:00,1,7,0.1429
279786531039,2025-05-15 10:58:00,0,11,0.0
283608863963,2025-05-26 20:03:00,1,11,0.0909
283747621078,2025-08-01 12:28:00,0,8,0.0
288945866974,2025-06-16 07:57:00,0,10,0.0
292074320103,2025-05-20 23:48:00,3,11,0.2727
293606008016,2025-05-19 12:59:00,1,11,0.0909
293685050613,2025-05-27 17:18:00,11,11,1.0
