periode_mois,nb_contacts_eligibles,nb_tickets_support,moyenne_tickets_par_contact
2024-06,99,21,0.2121
2024-07,215,28,0.1302
2024-08,279,30,0.1075
2024-09,365,40,0.1096
2024-10,466,89,0.191
2024-11,596,108,0.1812
2024-12,750,182,0.2427
2025-01,964,245,0.2541
2025-02,1148,257,0.2239
2025-03,1281,238,0.1858
2025-04,1294,172,0.1329
2025-05,1294,187,0.1445
2025-06,1294,162,0.1252
2025-07,1294,123,0.0951
2025-08,1294,69,0.0533
2025-09,1294,138,0.1066
2025-10,1294,158,0.1221
2025-11,1294,113,0.0873
2025-12,1294,104,0.0804
2026-01,1294,84,0.0649
2026-02,1294,54,0.0417
2026-03,1294,93,0.0719
2026-04,1294,10,0.0077
