mois_depuis_souscription,mois_utilisation,nb_contacts_eligibles,nb_tickets,moyenne_tickets_par_contact
0,1,1294,280,0.2164
1,2,1294,353,0.2728
2,3,1294,210,0.1623
3,4,1294,168,0.1298
4,5,1294,186,0.1437
5,6,1294,141,0.109
6,7,1294,141,0.109
7,8,1294,131,0.1012
8,9,1294,125,0.0966
9,10,1294,146,0.1128
10,11,1294,111,0.0858
11,12,1294,119,0.092
12,13,1294,125,0.0966
13,14,1281,89,0.0695
14,15,1148,87,0.0758
15,16,964,84,0.0871
16,17,750,116,0.1547
17,18,596,38,0.0638
18,19,466,27,0.0579
19,20,365,14,0.0384
20,21,279,8,0.0287
21,22,215,5,0.0233
22,23,99,1,0.0101
23,24,0,0,0.0
24,25,0,0,0.0
