catégorie,expression,type,fréquence
Lecteur,lecteur,unigramme,111
Lecteur,carte,unigramme,45
Lecteur,plus,unigramme,42
Lecteur,stellair,unigramme,33
Lecteur,connecté,unigramme,22
Lecteur,message,unigramme,22
Lecteur,connecter,unigramme,22
Lecteur,connexion,unigramme,21
Lecteur,fonctionne,unigramme,20
Lecteur,cartes,unigramme,16
Lecteur,depuis,unigramme,16
Lecteur,jour,unigramme,15
Lecteur,faire,unigramme,15
Lecteur,alors,unigramme,14
Lecteur,vitales,unigramme,14
Lecteur,vitale,unigramme,14
Lecteur,bonjour,unigramme,14
Lecteur,problème,unigramme,14
Lecteur,cps,unigramme,14
Lecteur,merci,unigramme,13
Lecteur,cartes vitales,bigramme,14
Lecteur,carte vitale,bigramme,13
Lecteur,connecter lecteur,bigramme,9
Lecteur,mise jour,bigramme,9
Lecteur,terminal indisponible,bigramme,9
Lecteur,lecteur déconnecté,bigramme,8
Lecteur,fonctionne plus,bigramme,7
Lecteur,message erreur,bigramme,7
Lecteur,lecteur connecté,bigramme,7
Lecteur,lecteur prium,bigramme,7
Lecteur,bonjour lecteur,bigramme,6
Lecteur,lit plus,bigramme,5
Lecteur,lecture carte,bigramme,5
Lecteur,lecteur neo,bigramme,5
Lecteur,pendant exécution,bigramme,5
Lecteur,exécution ordre,bigramme,5
Lecteur,carte cps,bigramme,5
Lecteur,carte muette,bigramme,5
Lecteur,connecte plus,bigramme,5
Lecteur,connexion cours,bigramme,5
Lecteur,pendant exécution ordre,trigramme,5
Lecteur,lit plus cartes,trigramme,4
Lecteur,plus cartes vitales,trigramme,4
Lecteur,lecteur déconnecté pendant,trigramme,4
Lecteur,déconnecté pendant exécution,trigramme,4
Lecteur,carte invalide carte,trigramme,3
Lecteur,invalide carte muette,trigramme,3
Lecteur,plus lire cartes,trigramme,3
Lecteur,lire cartes vitales,trigramme,3
Lecteur,dit lecteur connecté,trigramme,3
Lecteur,cartes vitales depuis,trigramme,2
Lecteur,insertion carte vitale,trigramme,2
Lecteur,arrive plus lire,trigramme,2
Lecteur,fonctionne plus depuis,trigramme,2
Lecteur,message erreur lecteur,trigramme,2
Lecteur,erreur lecteur déconnecté,trigramme,2
Lecteur,stellair signale lecteur,trigramme,2
Lecteur,signale lecteur connecté,trigramme,2
Lecteur,impossible connecter lecteur,trigramme,2
Lecteur,connecter pro santé,trigramme,2
Fonctionnalités,stellair,unigramme,36
Fonctionnalités,comment,unigramme,30
Fonctionnalités,factures,unigramme,28
Fonctionnalités,faire,unigramme,27
Fonctionnalités,affid,unigramme,22
Fonctionnalités,bonjour,unigramme,21
Fonctionnalités,omnidoc,unigramme,21
Fonctionnalités,fse,unigramme,18
Fonctionnalités,facture,unigramme,16
Fonctionnalités,merci,unigramme,15
Fonctionnalités,facturation,unigramme,14
Fonctionnalités,retour,unigramme,14
Fonctionnalités,depuis,unigramme,13
Fonctionnalités,patient,unigramme,12
Fonctionnalités,si,unigramme,11
Fonctionnalités,plus,unigramme,11
Fonctionnalités,mise,unigramme,11
Fonctionnalités,jour,unigramme,11
Fonctionnalités,soins,unigramme,10
Fonctionnalités,compte,unigramme,10
Fonctionnalités,affid standard,bigramme,7
Fonctionnalités,vers affid,bigramme,6
Fonctionnalités,retour noemie,bigramme,5
Fonctionnalités,mise jour,bigramme,4
Fonctionnalités,interface omnidoc,bigramme,4
Fonctionnalités,carte vitale,bigramme,4
Fonctionnalités,comment faire,bigramme,4
Fonctionnalités,comment puis,bigramme,4
Fonctionnalités,omnidoc stellair,bigramme,4
Fonctionnalités,feuille soins,bigramme,4
Fonctionnalités,bonjour possible,bigramme,4
Fonctionnalités,stellair vers,bigramme,3
Fonctionnalités,devis date,bigramme,3
Fonctionnalités,dois faire,bigramme,3
Fonctionnalités,stellair affid,bigramme,3
Fonctionnalités,retours noemie,bigramme,3
Fonctionnalités,noemie rapprocher,bigramme,3
Fonctionnalités,faire fse,bigramme,3
Fonctionnalités,pouvait faire,bigramme,3
Fonctionnalités,merci aide,bigramme,3
Fonctionnalités,stellair vers affid,trigramme,3
Fonctionnalités,comment puis faire,trigramme,3
Fonctionnalités,interface stellair omnidoc,trigramme,2
Fonctionnalités,devis date soins,trigramme,2
Fonctionnalités,ailleurs faudrait rajouter,trigramme,2
Fonctionnalités,faudrait rajouter signature,trigramme,2
Fonctionnalités,rajouter signature déjà,trigramme,2
Fonctionnalités,signature déjà retour,trigramme,2
Fonctionnalités,déjà retour mutuelle,trigramme,2
Fonctionnalités,retour mutuelle devis,trigramme,2
Fonctionnalités,mutuelle devis signé,trigramme,2
Fonctionnalités,devis signé praticien,trigramme,2
Fonctionnalités,stellair affid standard,trigramme,2
Fonctionnalités,retours noemie rapprocher,trigramme,2
Fonctionnalités,carte vital patient,trigramme,2
Fonctionnalités,retour noemie depuis,trigramme,2
Fonctionnalités,écran accueuil place,trigramme,2
Fonctionnalités,accueuil place plus,trigramme,2
Fonctionnalités,place plus bonjour,trigramme,2
Fonctionnalités,plus bonjour thomas,trigramme,2
Remplacant / Collaborateur,compte,unigramme,42
Remplacant / Collaborateur,remplaçant,unigramme,26
Remplacant / Collaborateur,collaborateur,unigramme,23
Remplacant / Collaborateur,dr,unigramme,22
Remplacant / Collaborateur,plus,unigramme,19
Remplacant / Collaborateur,remplaçants,unigramme,19
Remplacant / Collaborateur,stellair,unigramme,17
Remplacant / Collaborateur,merci,unigramme,17
Remplacant / Collaborateur,nombre,unigramme,14
Remplacant / Collaborateur,nouveau,unigramme,13
Remplacant / Collaborateur,remplaçante,unigramme,13
Remplacant / Collaborateur,lecteur,unigramme,13
Remplacant / Collaborateur,titulaire,unigramme,12
Remplacant / Collaborateur,comment,unigramme,12
Remplacant / Collaborateur,mail,unigramme,12
Remplacant / Collaborateur,bonjour,unigramme,12
Remplacant / Collaborateur,message,unigramme,10
